Tweet,Predicted Sentiment,Predicted Reasoning,Actual Sentiment
Nurse unable to buy food after long shift makes emotional plea for public to stop panic buying 19,Negative,"The tweet contains emotionally charged words and phrases such as ""nurse unable to buy food,"" ""long shift,"" and ""emotional plea."" These terms highlight a distressing situation where a healthcare worker is struggling due to external circumstances—in this case, panic buying by the public. The tone conveys concern and sympathy for the nurse's plight and implicitly criticizes the behavior of panic buying. The overall sentiment leans toward highlighting a negative situation rather than endorsing or celebrating anything. Therefore, the tweet is expressing a negative sentiment by drawing attention to a problem and the emotional impact it has on individuals.",0
"It has begun. #france #supermarket #coronavirus #lockdown 

 https://t.co/OGNTM76ayc",Neutral,"The tweet contains the phrase ""It has begun,"" which is somewhat ambiguous but combined with the hashtags ""#france #supermarket #coronavirus #lockdown,"" it suggests the start of a significant event related to the COVID-19 pandemic and lockdown measures in France. The words “coronavirus” and “lockdown” are generally associated with negative events or situations involving restrictions and health concerns. However, the tweet itself does not express an opinion or explicit emotion such as fear, anger, or hope; it is more of a factual or observational statement about current events.",1
NADAD 100m for C19 great idea but I suggest you look at paying local pharmaceutical companies to produce more sanitizers to supply for free The sanitizers prices is outrageous,Negative,"The tweet starts with a positive note, describing the NADAD 100m funding for Covid-19 as a ""great idea,"" which is an emotionally positive judgment. However, the tweet quickly shifts to a critique by suggesting the government should support local pharmaceutical companies to produce sanitizers for free due to the ""outrageous"" prices of sanitizers currently. The word ""outrageous"" is a strongly negative emotional expression. Overall, the tweet expresses approval for the funding initiative but voices concern and dissatisfaction regarding sanitizer prices and the country's supply strategy. The negative sentiment towards sanitizer prices and the call for free supply outweigh the mild positive mention. Therefore, the overall sentiment of the tweet is mixed but leans more towards a negative sentiment due to highlighting a problem and suggesting a better solution.",2
Skip the grocery store with Misfits Market. Right now you get 50% off your first order with promo code COOKWME-FE8VLT. #stayinghome #coronavirus https://t.co/nw3MHjHy8X,Positive,"The tweet uses the phrase ""Skip the grocery store,"" which suggests a convenient alternative to a potentially undesirable activity. The highlight of ""50% off your first order"" with a promo code is a clear promotional and positive incentive aimed at attracting customers. The hashtags ""#stayinghome #coronavirus"" provide context that staying home is advisable due to the pandemic, reinforcing the positive idea of using Misfits Market for safety and convenience. There are no negative or judgmental words; the tone is encouraging and promotional, emphasizing benefits and safety.",1
We would like to thank @BartlettsRUM for their generous donation of hand sanitizer to help the fight towards COVID-19 #COVID19 #CajunNavy #CajunNavyRelief #coronavirus #handsanitizer #Covid_19 https://t.co/LgkW9E0dte,Positive,"The tweet contains emotionally positive and appreciative words such as ""thank"" and ""generous donation,"" which express gratitude towards @BartlettsRUM for their contribution. The context is supportive and focused on helping fight COVID-19, indicating a constructive and encouraging tone. There are no negative or neutral languagings; instead, it demonstrates community support and kindness.",2
Remember when we asked for a Supermarket Sweep reboot? We should have been more specific. #Covid_19,Negative,"The tweet references a desire for a ""Supermarket Sweep"" reboot, which is a positive nostalgic thought; however, it quickly contrasts this wish with the unintended consequences implied by ""#Covid_19."" The phrase ""We should have been more specific"" suggests regret or irony related to the current situation with COVID-19, which carries a negative connotation. Overall, the tone conveys irony and displeasure about the pandemic, despite the light-hearted reference to the game show. Thus, the sentiment leans toward negativity due to the pandemic context overshadowing the initial positive nostalgia.",1
"If you come across any shops charging inflated prices for essentials such as toilet paper, soap, hand gel etc you can report them /complain to The Competition and Markets Authority @CMAgovUK #CoronaCrisis",Neutral,"The tweet contains words like ""inflated prices"" which is a negative and judgmental phrase implying unfair or exploitative behavior by some shops. However, the overall tone of the tweet is informational and advisory rather than emotional; it encourages people to take action by reporting such practices to an authority, which conveys a sense of empowerment and civic responsibility. There is no expression of anger, frustration, or positivity, but rather a call to address a problem during a crisis. Thus, the tweet's tone is mostly neutral as it serves as a public service announcement without strong emotional charge in either direction.",2
"Extremely let down Tesco - NO DELIVERY NO phonecall NO email - have no food,no dog food, no drinking water (water off my area today) order placed 1 week ago Did not stockpile Did not panic Did everything advised ie weekly shop. Tesco Clarehall not responding ?#Tesco #Covid_19",Negative,"The tweet contains several emotionally charged and judgmental words and phrases such as ""Extremely let down,"" ""NO DELIVERY NO phonecall NO email,"" ""have no food, no dog food, no drinking water,"" and ""Tesco Clarehall not responding."" These words convey frustration, disappointment, and a sense of negligence on the part of Tesco. The user emphasizes the lack of communication and service despite following all recommendations (""Did not stockpile Did not panic Did everything advised""). The overall tone is clearly expressed as dissatisfaction and complaint about Tesco’s failure to deliver and communicate during what appears to be a critical time (indicated by the hashtag #Covid_19). Therefore, the sentiment is negative.",0
"Every time another journalist asks the government about Rationing Food and Looting, another number of people panic buy and another number of poorer famillies will be a step closer to going without enough food. Irresponsible Journalism #CoronaCrisis #StayHomeStaySafe",Negative,"The tweet contains emotionally charged words such as ""panic buy,"" ""poorer families,"" ""going without enough food,"" and ""Irresponsible Journalism."" The phrase ""panic buy"" has a negative connotation as it highlights irrational consumer behavior triggered by fear. The mention of ""poorer families"" and them ""going without enough food"" emphasizes the negative impact on vulnerable groups. The accusation of ""Irresponsible Journalism"" suggests frustration or criticism regarding the media's role in exacerbating the crisis. Overall, the tone of the tweet is critical and highlights negative consequences related to the media's reporting on rationing and looting during a crisis.",0
"#SaudiArabia says the government will cut spending by 5%, or about $13.3 billion, to offset the impact of plunging oil prices and the effects of the #coronavirus on its economic outlook https://t.co/6qz2aIe3F5",Neutral,"The tweet is primarily factual, reporting on Saudi Arabia's announced government spending cut in response to economic challenges caused by plunging oil prices and the coronavirus. The keywords such as ""cut spending,"" ""plunging oil prices,"" and ""effects of the coronavirus"" carry a negative connotation related to economic difficulty. However, the overall tone is neutral because the tweet does not express an opinion or emotional judgment; it simply informs about a government measure and the factors influencing that decision.",0
Food hoarders one week from now,Negative,"The phrase ""Food hoarders one week from now"" contains the word ""hoarders,"" which has a negative connotation, implying selfish or excessive accumulation of food. The phrase suggests a prediction or a warning about people stockpiling food, likely in an undesirable or critical tone. There is no positive language or neutral observation present; the use of ""hoarders"" indicates a judgmental and negative view of the behavior described. Therefore, the overall tone is negative.",1
Pop into store and give your Mother the Corona Virus this Mother s Day lt 3,Negative,"The tweet contains the phrase ""give your Mother the Corona Virus,"" which is clearly a negative and harmful action. The wording is sarcastic or ironic, as normally one would want to protect their mother, especially on Mother's Day. Instead, this tweet suggests the opposite, which is harmful and threatening. The inclusion of ""lt 3"" (likely a misconstrued or mistyped heart symbol ""<3"") adds confusion, but does not negate the negative sentiment conveyed by the primary message. Overall, the tone is negative due to the threatening and careless suggestion related to a serious illness.",1
These are the rent prices in my neighborhood What s 1 200 going to do for New Yorkers who have been laid off due to COVID 19,Negative,"The tweet contains emotionally charged elements related to financial strain and hardship, such as ""rent prices,"" ""laid off,"" and the context of ""COVID 19."" The phrase ""What s 1 200 going to do for New Yorkers who have been laid off"" suggests frustration, concern, or criticism about the insufficient amount to cover rent during a crisis. There is no optimistic or positive language present, nor is the tweet merely stating facts without emotion. Therefore, the overall tone is one of concern and negativity about the impact of rent prices on people affected by layoffs due to the pandemic.",1
"New Article: How COVID-19 affected U.S. consumer prices in March 

https://t.co/tfmXtjUxuq 

#businessNews April 10, 2020",Neutral,"The tweet shares a factual announcement about a new article discussing the impact of COVID-19 on U.S. consumer prices. There are no emotionally charged or judgmental words present. The tone is informative and neutral, serving primarily to deliver news and a link without expressing any positive or negative opinion about the topic.",0
"Philippine #coronavirus senator @SenKokoPimentel went on shopping spree while being observed for #COVID19 #COVID19PH #useyourKOKOte wisely ?? 
https://t.co/AbJi3uR8kt",Negative,"The tweet contains emotionally charged words such as ""shopping spree"" and ""being observed for #COVID19,"" which suggest irresponsible behavior during a serious health situation. The phrase ""use your KOKOte wisely"" seems to be a play on words related to the senator's name and implies criticism or sarcasm regarding the senator's actions. The overall tone of the tweet appears to be judgmental and critical of the senator's behavior during the pandemic. Therefore, the sentiment conveyed is negative.",2
is an economic issue as well as a medical one In partnership with we re launching the Commerce Insight platform to show the impact on global amp regional consumer spending,Positive,"The tweet discusses launching a new platform called Commerce Insight to show the impact on global and regional consumer spending. The words used like ""launching"" and ""partnership"" imply a proactive and constructive effort. There are no emotionally negative or highly charged words present. The overall tone is informative and optimistic about addressing both economic and medical issues by providing insights. Therefore, the sentiment is positive as it conveys progress and collaboration.",2
We were told to stock up!? Nailed it!!Add me on TikTok@spshanda Please drink responsibly! No drinking &amp; driving. You shouldn't even be outside! No underage drinking!!!!  #CoronaVirusChallenge #stockup #COVID19ON  #coronavirus #BeSafeOutThere #firstdayofspring https://t.co/DfMs6nDHJd,Positive,"The tweet contains several emotionally charged phrases such as ""Nailed it!!"" which expresses accomplishment or success, and numerous cautionary warnings like ""Please drink responsibly! No drinking & driving,"" ""You shouldn't even be outside!,"" and ""No underage drinking!!!!"" These warnings convey concern and responsibility, which adds a serious tone. The hashtags reference the coronavirus, emphasizing safety and awareness. Overall, the tweet mixes a lighthearted expression of having successfully stocked up (""Nailed it!!"") with strong cautionary advice related to health and safety during the pandemic, resulting in a tone that is cautiously positive with an emphasis on responsible behavior.",0
"Retail analyst Teresa Wickham (of Tunbridge Wells) discussing supermarket choice on BBC News, March 21 at 14:42: ""You don't need 27 olive oils, you know, you probably need three or four to choose from."" Quite! #Covid_19",Positive,"The tweet contains the phrase ""You don't need 27 olive oils, you know, you probably need three or four to choose from,"" which is a judgmental but light-hearted commentary on supermarket product variety. The word ""Quite!"" indicates agreement and adds a positive tone of affirmation. The overall context is a neutral news reference with a mild positive endorsement of more practical consumer choices during the COVID-19 period. There are no strong negative or emotionally charged words expressing dissatisfaction or anger.",2
I see really doing their bit to help during crisis Prices up 2 5 from 30th March Contract for 3 phones up for renewal in June amp after 15 years as a customer I ll be going elsewhere,Negative,"The tweet contains emotionally charged phrases such as ""Prices up 2 5 from 30th March,"" which expresses frustration about rising prices. The mention of ""after 15 years as a customer I’ll be going elsewhere"" indicates dissatisfaction and a decision to switch providers due to these price increases. The phrase ""really doing their bit to help during crisis"" appears sarcastic given the context of price hikes during a crisis, reinforcing the negative sentiment. Overall, the tone expresses discontent and frustration with the company or service provider.",0
We ve identified 6 thresholds of consumer behavior in response to This is where countries around the world stand as of March 20 2020 For more on these thresholds  ,Neutral,"The tweet is largely informational and neutral in tone. The phrase ""identified 6 thresholds of consumer behavior"" is factual and does not convey strong positive or negative emotions. Additionally, ""This is where countries around the world stand as of March 20 2020"" is a statement of fact or data update without any emotionally charged language or judgment. The tweet aims to provide information and directs readers for more details. There is no evident enthusiasm, encouragement, or criticism in the wording.",1
"The Kaduna State Government has decided to temporarily relax the restriction of movement, from 3pm today to 12 midnight, tomorrow, Wednesday 2nd April 2020. This is to enable people to stock up on food and other essentials.",Neutral,"The tweet contains neutral and factual language, with no emotionally charged or judgmental words. It informs the public about a temporary relaxation of movement restrictions to allow people to stock up on essentials. The tone is informative and straightforward, aiming to communicate government decisions without expressing any positive or negative emotion. Therefore, the overall sentiment is neutral.",2
"""Flash forward to 2020: Instead of slamming OPEC for artificially restraining production, #Trump is urging the cartel to do just that.""

Donald Trump, according to himself, is a stable genius.

#gop #COVID2019 

https://t.co/3jcDSicplq",Negative,"The tweet uses phrases like ""slamming OPEC for artificially restraining production"" and contrasts it with Trump ""urging the cartel to do just that,"" which implies a critical tone suggesting hypocrisy or contradiction. The phrase ""Donald Trump, according to himself, is a stable genius,"" is sarcastic and judgmental, casting doubt on Trump’s self-assessment. The use of hashtags #gop and #COVID2019 adds political and pandemic context, which does not lighten the critical tone. The overall language and phrasing indicate disapproval and criticism rather than neutrality or praise.",2
"It utterly astounds me that during the middle of the #coronavirus #pandemic people worried about catching a potentially deadly respiratory disease, remove their face masks to have a fag in the queue for the supermarket. Out-fucking-standing.",Negative,"The tweet uses emotionally charged words and phrases such as ""utterly astounds me,"" ""potentially deadly respiratory disease,"" and ""Out-fucking-standing,"" which indicate strong feelings of disbelief and criticism. The context is the behavior of people removing face masks to smoke (""have a fag"") during the coronavirus pandemic, which the tweet condemns as irresponsible. The overall tone is critical and disapproving rather than supportive or neutral.",0
Scene in our local @Tesco people seriously need to stop doing family outings to the supermarket! Leave some for care staff! Numbers need limiting &amp; the staff need protecting! #panicbuying #Tesco #lockdownuk #coronavirus #COVID?19 https://t.co/DiMIcTjY0J,Negative,"The tweet contains emotionally charged words and phrases such as ""seriously need to stop,"" ""leave some for care staff,"" ""numbers need limiting,"" and ""staff need protecting."" These expressions convey frustration and concern regarding people's behavior at the supermarket during a critical time (lockdown, coronavirus). The hashtags further emphasize the context of panic buying and the COVID-19 crisis, highlighting stress and urgency. Overall, the tone is critical and worried, indicating dissatisfaction with current actions and a desire for change to help protect essential workers.",1
Most of you c@nts are more likely to die from obesity than COVID-19 by stock piling all that crap food..,Negative,"The tweet contains a highly judgmental and offensive term, ""c@nts,"" which is emotionally charged and aggressive. The phrase ""more likely to die from obesity than COVID-19"" introduces a negative health-related comparison, and ""stockpiling all that crap food"" further conveys criticism and disdain. The overall tone is confrontational and disparaging towards the audience. Considering these elements, the tweet expresses negativity both in language and sentiment.",0
"@sykescottages are currently profiting   From the covid-19 crisis. Cancelling holidays, refusing to refund customers, offering to change dates but putting their prices up massively for future dates, ignoring emails and blocking all communication, writing ",Negative,"The tweet contains several emotionally charged and judgmental phrases such as ""profiting from the covid-19 crisis,"" ""cancelling holidays,"" ""refusing to refund customers,"" ""putting their prices up massively,"" ""ignoring emails,"" and ""blocking all communication."" These phrases strongly imply dissatisfaction and criticism directed towards the company mentioned. The overall tone is accusatory and highlights negative behavior during a difficult time, which suggests frustration and disappointment on the part of the customer.",0
@VZWSupport so other than waiving late fees is there anything else Verizon is doing to actually help customers while we deal with Covid 19?? Those of us in small towns are paying ridiculous prices just for necessities.,Negative,"The tweet contains emotionally charged words such as ""waiving late fees,"" ""actually help,"" ""deal with Covid 19,"" ""small towns,"" and ""paying ridiculous prices."" The phrase ""actually help"" implies some dissatisfaction with the current support offered by Verizon. The mention of ""ridiculous prices"" conveys frustration about costs. The overall tone questions the adequacy of Verizon's response and expresses concern for customers, especially in small towns, dealing with essential services during a difficult time. These elements indicate a critical and negative sentiment toward the situation and Verizon's support.",2
Online shopping   Hospitality and tourism   Translators and interpreters   Oil and gas workers   Sales reps   We dig into these March job posting trends and more in our latest blog post,Neutral,"The tweet lists various industries and mentions that the authors have analyzed March job posting trends related to these sectors, directing readers to their blog post for more information. There are no emotionally charged or judgmental words present; the language is factual and informative. The overall tone is neutral, as it simply informs about the content of a blog post without expressing any positive or negative emotions.",1
"@rshackelford14 I remember seeing people mock ""preppers"" before COVID-19.

No one has done that since.  The companies that sell emergency food rations to those ""preppers"" have put on extra shifts to try to keep up with the demand.",Positive,"The tweet uses the words ""mock"" and ""preppers"" which carry emotionally charged connotations. Initially, ""mock"" indicates a negative action that was done toward ""preppers,"" suggesting they were ridiculed or not taken seriously. However, the tweet then shifts to a more positive tone by stating that no one mocks preppers anymore since COVID-19, implying a change in public perception. Furthermore, mentioning that companies selling emergency food rations are working extra shifts highlights an increased demand and validation of the preppers’ actions. Overall, the tone seems to affirm and acknowledge the foresight and prudence of preppers, marking a positive shift from ridicule to respect.",0
"As the coronavirus (COVID-19) continues, so will scams and the spread of misinformation. Take a look at some specific examples of COVID-19 scams provided by the FTC: https://t.co/2ErW4tXvvf",Neutral,"The tweet contains emotionally charged words such as ""scams,"" ""misinformation,"" and ""coronavirus (COVID-19),"" which are associated with negative events. However, the overall tone of the tweet is informative and cautionary rather than expressing an emotional reaction. It aims to raise awareness about ongoing scams during the pandemic and directs readers to a resource (FTC) for specific examples, which is practical and helpful. There is no expressed anger, fear, or distress, nor is there encouragement or celebration. The tweet serves as a neutral public service announcement.",0
Lets spread the word to help the Nation together Any can use our App Free for Contactless Deliveries Takeaway,Positive,"The tweet contains positive and encouraging words such as ""help,"" ""together,"" ""Free,"" and ""Contactless Deliveries,"" which promote community support and convenience. There are no negative or emotionally charged words indicating dissatisfaction or criticism. The overall tone is motivating and supportive, aimed at encouraging people to use an app for a beneficial cause. Thus, the sentiment of the tweet is positive.",2
"Prices plunge at the pumps...again
#nbnews #COVID19 #coronavirus #gas https://t.co/aODpdVDm3c",Positive,"The emotionally charged phrase in the tweet is ""Prices plunge at the pumps...again."" The word ""plunge"" typically has a negative connotation, implying a steep decline. However, in the context of fuel prices, a plunge or drop in prices is generally positive for consumers as it means cheaper fuel. The phrase ""again"" suggests this is a recurring event, which could be seen as either positive or neutral depending on frequency. The hashtags (#nbnews #COVID19 #coronavirus #gas) indicate the broader context is related to current events, potentially implying economic impacts due to the pandemic. Overall, the tone of the tweet suggests a positive outcome for consumers with lower gas prices, despite the underlying challenging situation. There is no explicit negative judgment or emotional distress expressed.",1
"@BoyersFood #COVID19 #WeAreInThisTogether 
Hey guys, we hope everyone is staying safe and doing well. A local supermarket in NE PA emailed their customers this awesome email today. We wanted to share this info with you during the COVID-19 pandemic. Plea",Positive,"The tweet uses words and phrases such as ""hope everyone is staying safe,"" ""doing well,"" ""awesome email,"" and ""#WeAreInThisTogether,"" which are emotionally positive and supportive. The context is about sharing helpful information from a local supermarket during the COVID-19 pandemic, aiming to encourage and support the community. There are no negative or neutral expressions that dominate the tone. Overall, the tweet conveys a caring and optimistic attitude.",2
"In the wake of COVID-19, oil prices are plummeting and Alberta's Jason Kenney is lobbying for a giant government bailout for Big Oil. Add your voice to say no. 
#ExtinctionRebellion #FridaysForFuture #fossilfuels #TarSands  @GretaThunberg 
https://t.co/3deVm0Uaqk",Negative,"The tweet contains emotionally charged words and phrases such as ""plummeting"" (describing oil prices negatively), ""lobbying for a giant government bailout"" (implying disapproval of the bailout efforts), and the phrase ""Add your voice to say no,"" which is a call to action against the bailout. These elements suggest dissatisfaction and opposition towards the government bailout for Big Oil. The hashtags #ExtinctionRebellion, #FridaysForFuture, #fossilfuels, and #TarSands align with environmental activism, further reinforcing a critical stance against fossil fuel industry support. The mention of Greta Thunberg, a prominent climate activist, supports the negative tone regarding the bailout. Overall, the tweet expresses disapproval and opposition to the bailout and the fossil fuel industry, making its tone negative.",0
"BREAKING: @POTUS is heaping praise on the way most Americans are responding to the #coronavirus outbreak. Healthcare workers, transit workers, grocery store &amp; restaurant workers, and first responders get a big shout out.",Positive,"The tweet uses emotionally positive and appreciative words such as ""heaping praise,"" ""big shout out,"" and highlights groups like healthcare workers, transit workers, grocery store and restaurant workers, and first responders in a commendatory context. The tone is clearly one of recognition and gratitude towards those individuals responding to the coronavirus outbreak, which evokes a positive emotional response. There are no negative or neutral indicators present, and the overall message is uplifting and supportive.",2
"Exclusive: The 2020 Tokyo Olympics will be postponed, likely to 2021, veteran IOC member Dick Pound says.

ÂOn the basis of the information the IOC has, postponement has been decided,Â Pound told @cbrennansports. https://t.co/Fr8be81BEU https://t.co/POWFtCr0wW",Neutral,"The tweet primarily provides factual information about the postponement of the 2020 Tokyo Olympics, quoting a veteran IOC member without using any emotionally charged or judgmental language. The words ""exclusive,"" ""postponed,"" and ""decided"" convey news and official decisions without subjective emotion. There is no positive or negative judgment expressed regarding the postponement itself, just a neutral announcement of the event's rescheduling based on available information. The tone is informative and neutral rather than celebratory or disappointed.",0
Costco in Toronto limiting toilet paper to two packages per person,Neutral,"The tweet contains the factual statement ""Costco in Toronto limiting toilet paper to two packages per person."" There are no emotionally charged or judgmental words such as ""good,"" ""bad,"" ""worst,"" or ""great."" The wording is neutral and simply informs the reader of a policy limit at a store. Although limiting toilet paper might imply shortages or high demand, which might be associated with concern, the tweet itself does not express any positive or negative emotions or opinions. Therefore, the tone remains neutral.",1
"As per survey there was 28% web traffic increase to #eCommerce sites. Check some stats and recommendations for your eCommerce store in response to #COVID_19
?https://t.co/w5xPBYSZY3
#ecommercestore #retail #business #onlinebusiness #smallbusiness #ecommercetrends #businesstips https://t.co/8hSnTwIPJo",Neutral,"The tweet contains mostly factual and informative language, such as ""28% web traffic increase,"" ""stats,"" and ""recommendations."" The tone is neutral and focuses on sharing data and advice related to eCommerce and COVID-19. There are no emotionally charged or judgmental words that indicate strong positive or negative sentiment. The hashtags further emphasize the business and eCommerce context without adding emotional weight.",2
"The  problem is that the media is in part 2 blame. It's enticing panic-buying by portraying pics of empty sections of food whilst supermarkets shelves are well stocked.
 #Coronavirus #COVID19uk #CoronavirusHumor #PanicBuying #panicshopping #ToiletPaper #StockPile 
 #Coronavirus https://t.co/0ww6OmmN3d",Negative,"The tweet contains emotionally charged words and phrases such as ""problem,"" ""blame,"" ""panic-buying,"" and ""empty sections of food."" These phrases indicate a critical tone towards the media, accusing it of exaggerating the scarcity of goods and causing unnecessary panic. The presence of hashtags like #PanicBuying and #panicshopping further emphasize the theme of anxiety and concern. The overall tone is one of frustration and criticism rather than optimism or neutrality.",0
Called in supermarket on way home ?. We are a generation who are used to having plenty instantaneously.  Now is the time to think about others and adjust our behaviours.  #lookoutforothers. #Covid_19,Positive,"The tweet contains emotionally charged words and phrases such as ""used to having plenty instantaneously"" which reflects a critique of current generational behavior. However, the focus quickly shifts to a positive and encouraging message: ""Now is the time to think about others and adjust our behaviours."" This statement promotes empathy and social responsibility. The hashtags #lookoutforothers and #Covid_19 further emphasize a community-minded and supportive tone in response to the challenges posed by the pandemic. Overall, despite a slight critique, the message is constructive and urges positive behavioral change.",1
